strategy,direction,entry_price,stop_price,target_price,exit_price,exit_time,entry_time,pnl_per_share,exit_reason,prev_close,today_open,gap_pct,atr,date,shares,gross_pnl,cost,trade_pnl,equity_after,drawdown_pct
gap_fill,short,622.36,631.0184142857144,605.0431714285714,619.86,2026-01-22 15:45:00-05:00,2026-01-22 09:30:00-05:00,2.5,eod_close,616.28,622.36,0.009866,8.658414285714311,2026-01-22,8,20.0,1.49,18.51,10868.89,0.0
gap_fill,short,635.46,643.5949357142857,619.1901285714285,633.215,2026-01-28 15:45:00-05:00,2026-01-28 09:30:00-05:00,2.245,eod_close,631.13,635.46,0.006861,8.134935714285737,2026-01-28,8,17.96,1.53,16.43,10885.33,0.0
gap_fill,long,600.21,589.8298857142858,620.9702285714286,596.36,2026-02-05 15:45:00-05:00,2026-02-05 09:30:00-05:00,-3.85,eod_close,605.75,600.21,-0.009146,10.380114285714285,2026-02-05,9,-34.65,1.62,-36.27,10849.06,0.0033
gap_fill,long,602.98,592.6631357142858,623.6137285714286,606.1201,2026-02-27 15:45:00-05:00,2026-02-27 09:30:00-05:00,3.1401,eod_close,609.24,602.98,-0.010275,10.316864285714278,2026-02-27,8,25.12,1.45,23.67,10872.73,0.0012
gap_fill,long,598.88,589.0867071428571,618.4665857142857,607.8,2026-03-02 15:45:00-05:00,2026-03-02 09:30:00-05:00,8.92,eod_close,607.29,598.88,-0.013848,9.793292857142847,2026-03-02,9,80.28,1.62,78.66,10951.4,0.0
gap_fill,long,600.31,590.053857142857,620.8222857142856,600.31,2026-03-06 15:45:00-05:00,2026-03-06 09:30:00-05:00,0.0,eod_close,608.91,600.31,-0.014124,10.25614285714285,2026-03-06,9,0.0,1.62,-1.62,10949.78,0.0001
gap_fill,long,594.2,583.9067142857143,614.7865714285714,606.96,2026-03-09 15:45:00-04:00,2026-03-09 09:30:00-04:00,12.76,eod_close,599.75,594.2,-0.009254,10.293285714285698,2026-03-09,9,114.84,1.6,113.24,11063.01,0.0
gap_fill,short,600.04,610.9957071428571,578.1285857142857,599.876,2026-03-16 15:45:00-04:00,2026-03-16 09:30:00-04:00,0.164,eod_close,593.72,600.04,0.010645,10.955707142857127,2026-03-16,9,1.48,1.62,-0.14,11062.87,0.0
gap_fill,long,589.51,579.0192928571429,610.4914142857142,593.18,2026-03-19 15:45:00-04:00,2026-03-19 09:30:00-04:00,3.67,eod_close,594.9,589.51,-0.00906,10.49070714285713,2026-03-19,9,33.03,1.59,31.44,11094.31,0.0
gap_fill,short,590.52,601.3121357142857,568.9357285714286,590.665,2026-03-23 15:45:00-04:00,2026-03-23 09:30:00-04:00,-0.145,eod_close,582.06,590.52,0.014535,10.792135714285703,2026-03-23,9,-1.3,1.59,-2.9,11091.41,0.0003
gap_fill,short,589.14,599.3299928571429,568.7600142857143,586.98,2026-03-25 15:45:00-04:00,2026-03-25 09:30:00-04:00,2.16,eod_close,583.98,589.14,0.008836,10.189992857142856,2026-03-25,9,19.44,1.59,17.85,11109.25,0.0
